episode,reward
0,-0.1985
100,-0.4365
200,-0.103
300,-0.1175
400,-0.101
500,-0.0835
600,-0.085
700,-0.083
800,-0.079
900,-0.0785
1000,-0.0435
1100,-0.0575
1200,-0.077
1300,-0.092
1400,-0.0455
1500,-0.0485
1600,-0.045
1700,-0.0405
1800,-0.111
1900,-0.0655
2000,-0.0835
2100,-0.057
2200,-0.0605
2300,-0.038
2400,-0.097
2500,-0.0945
2600,-0.0255
2700,-0.078
2800,-0.1105
2900,-0.061
3000,-0.0395
3100,-0.061
3200,-0.042
3300,-0.059
3400,-0.082
3500,-0.072
3600,-0.0765
3700,-0.089
3800,-0.0935
3900,-0.08
4000,-0.0645
4100,-0.098
4200,-0.093
4300,-0.051
4400,-0.0825
4500,-0.0995
4600,-0.0485
4700,-0.0355
4800,-0.068
4900,-0.0475
